user_id,timestamp,activity_type,resource_accessed,location,device_info,risk_score,login_time,logout_time,session_duration,file_size,data_type,application_used,ip_address,user_agent,success_status
U001,15-01-2024 08:30,login,workstation_01,office_building_a,Windows_10_Pro,0.1,15-01-2024 08:30,15-01-2024 17:45,33127,0,login,Windows,192.168.1.100,Mozilla/5.0,success
U001,15-01-2024 09:15,file_access,financial_reports.xlsx,office_building_a,Windows_10_Pro,0.2,15-01-2024 08:30,15-01-2024 17:45,33127,2048576,financial,Excel,192.168.1.100,Mozilla/5.0,success
U001,15-01-2024 10:45,email_send,external_recipient@competitor.com,office_building_a,Windows_10_Pro,0.8,15-01-2024 08:30,15-01-2024 17:45,33127,512000,email,Outlook,192.168.1.100,Mozilla/5.0,success
U001,15-01-2024 11:20,usb_access,USB_DRIVE_001,office_building_a,Windows_10_Pro,0.9,15-01-2024 08:30,15-01-2024 17:45,33127,1048576,data_transfer,File_Explorer,192.168.1.100,Mozilla/5.0,success
U001,15-01-2024 14:30,cloud_upload,dropbox_upload,office_building_a,Windows_10_Pro,0.7,15-01-2024 08:30,15-01-2024 17:45,33127,5242880,documents,Cloud_App,192.168.1.100,Mozilla/5.0,success
U002,15-01-2024 08:45,login,workstation_02,office_building_b,MacOS_12.1,0.1,15-01-2024 08:45,15-01-2024 18:00,33290,0,login,MacOS,192.168.1.101,Safari/15.0,success
U002,15-01-2024 09:30,file_access,hr_database.csv,office_building_b,MacOS_12.1,0.3,15-01-2024 08:45,15-01-2024 18:00,33290,1024000,hr_data,Excel,192.168.1.101,Safari/15.0,success
U002,15-01-2024 12:15,printer_access,network_printer_01,office_building_b,MacOS_12.1,0.2,15-01-2024 08:45,15-01-2024 18:00,33290,256000,documents,Print_Service,192.168.1.101,Safari/15.0,success
U003,15-01-2024 09:00,login,workstation_03,remote_location,Ubuntu_20.04,0.1,15-01-2024 09:00,15-01-2024 16:30,27010,0,login,Linux,203.45.67.89,Chrome/96.0,success
U003,15-01-2024 10:30,file_access,source_code_repository,remote_location,Ubuntu_20.04,0.4,15-01-2024 09:00,15-01-2024 16:30,27010,5120000,source_code,Git,203.45.67.89,Chrome/96.0,success
U003,15-01-2024 11:45,git_push,external_repository,remote_location,Ubuntu_20.04,0.6,15-01-2024 09:00,15-01-2024 16:30,27010,1024000,source_code,Git,203.45.67.89,Chrome/96.0,success
U004,15-01-2024 08:20,login,workstation_04,office_building_a,Windows_11_Pro,0.1,15-01-2024 08:20,15-01-2024 17:30,33000,0,login,Windows,192.168.1.104,Edge/96.0,success
